Date,Open,High,Low,Close,Volume
2017-03-17,218.54373400846322,218.74596277085598,217.88189697265622,217.88189697265625,89002100
2017-03-20,217.8819050800203,218.18524823489682,217.22926916212117,217.64291381835938,52537000
2017-03-21,218.2863861756453,218.41507594983176,214.7106338506068,214.8485107421875,131809300
2017-03-22,214.8852847481761,215.6574233842548,214.22344762407056,215.3540802001953,97569200
2017-03-23,215.35404118628145,216.32840843521507,214.7289806968262,215.12423706054688,100410300
2017-03-24,215.44596831029895,216.0526405419938,214.14068256009068,214.9679718017578,112504900
2017-03-27,213.19391235380982,215.0231585491749,212.89977031739585,214.7473907470703,87454500
2017-03-28,214.42569199675012,216.76049633537392,214.3061893326722,216.31008911132812,93483900
2017-03-29,216.0067406123318,216.76049102401302,215.76773529003242,216.51229858398438,61950400
2017-03-30,216.44792512726156,217.41310532326136,216.2640846199596,217.20167541503906,56737900
2017-03-31,216.8432004776314,217.40392319091805,216.64097169407665,216.69613647460938,73733100
2017-04-03,216.75130788783068,216.96272380855805,215.01398882798495,216.31927490234375,85546500
2017-04-04,216.01591798614567,216.5490653392049,215.6114604061605,216.45713806152344,56466200
2017-04-05,217.1741115844663,218.21283084382787,215.59305789058925,215.8136749267578,108800600
2017-04-06,215.96077129388235,216.97190123673917,215.49196180547156,216.42037963867188,69135800
2017-04-07,216.153804425535,216.93514424194473,215.68500895136953,216.19976806640625,74412300
2017-04-10,216.34686421526285,217.17415371565514,215.76775314930717,216.32847595214844,67615300
2017-04-11,215.9240126494599,216.18139222176154,214.49003673916948,216.0710906982422,88045300
2017-04-12,215.77688694913056,215.97911570186744,214.88524581919,215.12423706054688,81864400
2017-04-13,214.765800713747,215.54714056099064,213.7270812988281,213.72708129882812,92880400
2017-04-17,214.2786039600402,215.62066650390625,214.0671880478751,215.62066650390625,68405400
2017-04-18,214.83928072872206,215.54708135849071,214.250982731885,214.97715759277344,83225800
2017-04-19,215.574695374787,215.96995180667435,214.34293438855875,214.58193969726562,68699900
2017-04-20,215.23460572807,216.79728549168783,214.89450000419637,216.32847595214844,92572200
2017-04-21,216.24570916067228,216.30085991351402,215.2161910379403,215.63902282714844,110389800
2017-04-24,218.01980723465553,218.23123717162184,215.6114640014816,218.0106201171875,119209900
2017-04-25,218.6908461663337,219.64682535279408,218.59891888684572,219.27914428710938,76698300
2017-04-26,219.24238027189216,220.179985276849,219.09531625290893,219.14126586914062,84702500
2017-04-27,219.48138418067998,219.6468364607653,218.75519510394756,219.3251190185547,57410300
2017-04-28,219.60082668829156,219.62840206251317,218.70918551877628,218.84707641601562,63532800
2017-05-01,219.39865112304688,219.84907238809657,218.95743100238957,219.39865112304688,66882500
2017-05-02,219.54572215536047,219.67441193752825,219.0493512887517,219.48138427734375,57375700
2017-05-03,219.48139395260725,219.58250835920603,218.49782526786137,219.21481323242188,73137700
2017-05-04,219.5365198684546,219.6192460028177,218.57133955581855,219.47216796875,61462700
